Hospital,Date,CTAS1,CTAS2,CTAS3,CTAS4,CTAS5,total_ER,low_severity,low_ratio
Aberdeen Hospital,2023-01,19,352,1090,571,71,2103,642,0.31
Aberdeen Hospital,2023-02,10,345,977,589,63,1984,652,0.33
Aberdeen Hospital,2023-03,12,415,1213,730,65,2435,795,0.33
Aberdeen Hospital,2023-04,18,420,1198,708,107,2451,815,0.33
Aberdeen Hospital,2023-05,18,416,1239,746,114,2533,860,0.34
Aberdeen Hospital,2023-06,17,428,1191,706,104,2446,810,0.33
Aberdeen Hospital,2023-07,22,484,1214,846,117,2683,963,0.36
Aberdeen Hospital,2023-08,13,488,1242,664,128,2535,792,0.31
Aberdeen Hospital,2023-09,16,422,1133,714,117,2402,831,0.35
Aberdeen Hospital,2023-10,17,449,1125,682,118,2391,800,0.33
Aberdeen Hospital,2023-11,20,445,1088,677,101,2331,778,0.33
Aberdeen Hospital,2023-12,15,478,1155,585,112,2345,697,0.3
All Saints Springhill Hospital,2023-01,1,6,45,150,26,228,176,0.77
All Saints Springhill Hospital,2023-02,0,1,36,175,31,243,206,0.85
All Saints Springhill Hospital,2023-03,0,7,122,317,57,503,374,0.74
All Saints Springhill Hospital,2023-04,0,9,107,452,49,617,501,0.81
All Saints Springhill Hospital,2023-05,0,5,81,405,54,545,459,0.84
All Saints Springhill Hospital,2023-06,0,15,111,508,63,697,571,0.82
All Saints Springhill Hospital,2023-07,0,16,109,455,84,664,539,0.81
All Saints Springhill Hospital,2023-08,0,10,85,361,54,510,415,0.81
All Saints Springhill Hospital,2023-09,0,12,61,272,29,374,301,0.8
All Saints Springhill Hospital,2023-10,0,6,30,152,25,213,177,0.83
All Saints Springhill Hospital,2023-11,0,3,22,102,16,143,118,0.83
All Saints Springhill Hospital,2023-12,0,5,25,121,24,175,145,0.83
Annapolis Community Health Centre,2023-01,0,2,4,124,96,226,220,0.97
Annapolis Community Health Centre,2023-02,0,1,8,120,103,232,223,0.96
Annapolis Community Health Centre,2023-03,0,0,10,140,95,245,235,0.96
Annapolis Community Health Centre,2023-04,0,0,7,107,90,204,197,0.97
Annapolis Community Health Centre,2023-05,0,0,18,133,101,252,234,0.93
Annapolis Community Health Centre,2023-06,0,0,10,138,90,238,228,0.96
Annapolis Community Health Centre,2023-07,0,0,5,102,92,199,194,0.97
Annapolis Community Health Centre,2023-08,0,0,15,129,70,214,199,0.93
Annapolis Community Health Centre,2023-09,0,1,20,97,77,195,174,0.89
Annapolis Community Health Centre,2023-10,0,0,23,110,54,187,164,0.88
Annapolis Community Health Centre,2023-11,0,1,17,118,86,222,204,0.92
Annapolis Community Health Centre,2023-12,0,1,22,127,74,224,201,0.9
Buchanan Memorial Community Health Centre,2023-01,1,14,67,134,9,225,143,0.64
Buchanan Memorial Community Health Centre,2023-02,0,10,82,96,13,201,109,0.54
Buchanan Memorial Community Health Centre,2023-03,1,13,85,128,16,243,144,0.59
Buchanan Memorial Community Health Centre,2023-04,0,10,95,131,18,254,149,0.59
Buchanan Memorial Community Health Centre,2023-05,1,12,107,168,17,305,185,0.61
Buchanan Memorial Community Health Centre,2023-06,0,13,138,148,15,314,163,0.52
Buchanan Memorial Community Health Centre,2023-07,1,13,128,217,16,375,233,0.62
Buchanan Memorial Community Health Centre,2023-08,0,19,112,187,18,336,205,0.61
Buchanan Memorial Community Health Centre,2023-09,0,10,103,171,14,298,185,0.62
Buchanan Memorial Community Health Centre,2023-10,0,8,115,151,7,281,158,0.56
Buchanan Memorial Community Health Centre,2023-11,1,8,87,135,7,238,142,0.6
Buchanan Memorial Community Health Centre,2023-12,1,16,96,130,10,253,140,0.55
Cape Breton Complex,2023-01,51,1039,1550,941,89,3670,1030,0.28
Cape Breton Complex,2023-02,30,909,1420,719,67,3145,786,0.25
Cape Breton Complex,2023-03,27,981,1603,936,74,3621,1010,0.28
Cape Breton Complex,2023-04,22,1068,1492,906,60,3548,966,0.27
Cape Breton Complex,2023-05,33,1105,1736,987,82,3943,1069,0.27
Cape Breton Complex,2023-06,32,1048,1631,908,51,3670,959,0.26
Cape Breton Complex,2023-07,30,1020,1772,1065,75,3962,1140,0.29
Cape Breton Complex,2023-08,40,1145,1642,914,130,3871,1044,0.27
Cape Breton Complex,2023-09,45,1068,1514,867,90,3584,957,0.27
Cape Breton Complex,2023-10,40,1104,1528,815,82,3569,897,0.25
Cape Breton Complex,2023-11,41,1050,1567,793,46,3497,839,0.24
Cape Breton Complex,2023-12,39,1126,1609,690,66,3530,756,0.21
Cobequid Community Health Centre,2023-01,19,730,1696,1165,65,3675,1230,0.33
Cobequid Community Health Centre,2023-02,12,641,1587,1103,76,3419,1179,0.34
Cobequid Community Health Centre,2023-03,14,759,1921,1315,72,4081,1387,0.34
Cobequid Community Health Centre,2023-04,24,733,1773,1404,82,4016,1486,0.37
Cobequid Community Health Centre,2023-05,32,732,2019,1405,87,4275,1492,0.35
Cobequid Community Health Centre,2023-06,24,825,1787,1276,99,4011,1375,0.34
Cobequid Community Health Centre,2023-07,27,774,1849,1512,107,4269,1619,0.38
Cobequid Community Health Centre,2023-08,19,822,1914,1447,86,4288,1533,0.36
Cobequid Community Health Centre,2023-09,24,823,1740,1284,112,3983,1396,0.35
Cobequid Community Health Centre,2023-10,28,907,1831,1405,87,4258,1492,0.35
Cobequid Community Health Centre,2023-11,27,826,1847,1334,108,4142,1442,0.35
Cobequid Community Health Centre,2023-12,16,812,1977,1401,116,4322,1517,0.35
Colchester East Hants Health Centre,2023-01,19,677,1174,619,40,2529,659,0.26
Colchester East Hants Health Centre,2023-02,18,644,1079,536,40,2317,576,0.25
Colchester East Hants Health Centre,2023-03,12,836,1273,668,54,2843,722,0.25
Colchester East Hants Health Centre,2023-04,17,889,1160,621,65,2752,686,0.25
Colchester East Hants Health Centre,2023-05,11,933,1215,642,106,2907,748,0.26
Colchester East Hants Health Centre,2023-06,23,849,1187,612,82,2753,694,0.25
Colchester East Hants Health Centre,2023-07,24,960,1178,675,110,2947,785,0.27
Colchester East Hants Health Centre,2023-08,10,831,1207,616,71,2735,687,0.25
Colchester East Hants Health Centre,2023-09,20,821,1165,530,40,2576,570,0.22
Colchester East Hants Health Centre,2023-10,17,827,1275,534,52,2705,586,0.22
Colchester East Hants Health Centre,2023-11,18,807,1161,507,69,2562,576,0.22
Colchester East Hants Health Centre,2023-12,23,792,1252,514,67,2648,581,0.22
Cumberland Regional Health Care Centre,2023-01,3,201,695,575,60,1534,635,0.41
Cumberland Regional Health Care Centre,2023-02,5,159,690,609,54,1517,663,0.44
Cumberland Regional Health Care Centre,2023-03,1,109,768,819,68,1765,887,0.5
Cumberland Regional Health Care Centre,2023-04,7,186,729,867,78,1867,945,0.51
Cumberland Regional Health Care Centre,2023-05,3,173,742,887,87,1892,974,0.51
Cumberland Regional Health Care Centre,2023-06,2,186,796,872,95,1951,967,0.5
Cumberland Regional Health Care Centre,2023-07,4,189,829,1138,143,2303,1281,0.56
Cumberland Regional Health Care Centre,2023-08,3,182,715,1178,126,2204,1304,0.59
Cumberland Regional Health Care Centre,2023-09,4,183,703,1096,100,2086,1196,0.57
Cumberland Regional Health Care Centre,2023-10,3,229,796,1221,123,2372,1344,0.57
Cumberland Regional Health Care Centre,2023-11,2,179,780,1120,147,2228,1267,0.57
Cumberland Regional Health Care Centre,2023-12,11,186,772,1131,116,2216,1247,0.56
Dartmouth General Hospital,2023-01,29,1067,1640,815,37,3588,852,0.24
Dartmouth General Hospital,2023-02,25,961,1427,747,38,3198,785,0.25
Dartmouth General Hospital,2023-03,38,1126,1622,920,26,3732,946,0.25
Dartmouth General Hospital,2023-04,27,1110,1734,946,35,3852,981,0.25
Dartmouth General Hospital,2023-05,28,1236,1708,1097,38,4107,1135,0.28
Dartmouth General Hospital,2023-06,29,1230,1590,965,27,3841,992,0.26
