Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Northern,Aberdeen Hospital,Regional Hospital,2023-01-01,Emergency Visits,2104,
Northern,Aberdeen Hospital,Regional Hospital,2023-01-01,Emergency Visits CTAS,19,1
Northern,Aberdeen Hospital,Regional Hospital,2023-01-01,Emergency Visits CTAS,352,2
Northern,Aberdeen Hospital,Regional Hospital,2023-01-01,Emergency Visits CTAS,1090,3
Northern,Aberdeen Hospital,Regional Hospital,2023-01-01,Emergency Visits CTAS,571,4
Northern,Aberdeen Hospital,Regional Hospital,2023-01-01,Emergency Visits CTAS,71,5
Northern,Aberdeen Hospital,Regional Hospital,2023-02-01,Emergency Visits,1984,
Northern,Aberdeen Hospital,Regional Hospital,2023-02-01,Emergency Visits CTAS,10,1
Northern,Aberdeen Hospital,Regional Hospital,2023-02-01,Emergency Visits CTAS,345,2
Northern,Aberdeen Hospital,Regional Hospital,2023-02-01,Emergency Visits CTAS,977,3
Northern,Aberdeen Hospital,Regional Hospital,2023-02-01,Emergency Visits CTAS,589,4
Northern,Aberdeen Hospital,Regional Hospital,2023-02-01,Emergency Visits CTAS,63,5
Northern,Aberdeen Hospital,Regional Hospital,2023-03-01,Emergency Visits,2435,
Northern,Aberdeen Hospital,Regional Hospital,2023-03-01,Emergency Visits CTAS,12,1
Northern,Aberdeen Hospital,Regional Hospital,2023-03-01,Emergency Visits CTAS,415,2
Northern,Aberdeen Hospital,Regional Hospital,2023-03-01,Emergency Visits CTAS,1213,3
Northern,Aberdeen Hospital,Regional Hospital,2023-03-01,Emergency Visits CTAS,730,4
Northern,Aberdeen Hospital,Regional Hospital,2023-03-01,Emergency Visits CTAS,65,5
Northern,Aberdeen Hospital,Regional Hospital,2023-04-01,Emergency Visits,2453,
Northern,Aberdeen Hospital,Regional Hospital,2023-04-01,Emergency Visits CTAS,18,1
Northern,Aberdeen Hospital,Regional Hospital,2023-04-01,Emergency Visits CTAS,420,2
Northern,Aberdeen Hospital,Regional Hospital,2023-04-01,Emergency Visits CTAS,1198,3
Northern,Aberdeen Hospital,Regional Hospital,2023-04-01,Emergency Visits CTAS,708,4
Northern,Aberdeen Hospital,Regional Hospital,2023-04-01,Emergency Visits CTAS,107,5
Northern,Aberdeen Hospital,Regional Hospital,2023-05-01,Emergency Visits,2533,
Northern,Aberdeen Hospital,Regional Hospital,2023-05-01,Emergency Visits CTAS,18,1
Northern,Aberdeen Hospital,Regional Hospital,2023-05-01,Emergency Visits CTAS,416,2
Northern,Aberdeen Hospital,Regional Hospital,2023-05-01,Emergency Visits CTAS,1239,3
Northern,Aberdeen Hospital,Regional Hospital,2023-05-01,Emergency Visits CTAS,746,4
Northern,Aberdeen Hospital,Regional Hospital,2023-05-01,Emergency Visits CTAS,114,5
Northern,Aberdeen Hospital,Regional Hospital,2023-06-01,Emergency Visits,2447,
Northern,Aberdeen Hospital,Regional Hospital,2023-06-01,Emergency Visits CTAS,17,1
Northern,Aberdeen Hospital,Regional Hospital,2023-06-01,Emergency Visits CTAS,428,2
Northern,Aberdeen Hospital,Regional Hospital,2023-06-01,Emergency Visits CTAS,1191,3
Northern,Aberdeen Hospital,Regional Hospital,2023-06-01,Emergency Visits CTAS,706,4
Northern,Aberdeen Hospital,Regional Hospital,2023-06-01,Emergency Visits CTAS,104,5
Northern,Aberdeen Hospital,Regional Hospital,2023-07-01,Emergency Visits,2683,
Northern,Aberdeen Hospital,Regional Hospital,2023-07-01,Emergency Visits CTAS,22,1
Northern,Aberdeen Hospital,Regional Hospital,2023-07-01,Emergency Visits CTAS,484,2
Northern,Aberdeen Hospital,Regional Hospital,2023-07-01,Emergency Visits CTAS,1214,3
Northern,Aberdeen Hospital,Regional Hospital,2023-07-01,Emergency Visits CTAS,846,4
Northern,Aberdeen Hospital,Regional Hospital,2023-07-01,Emergency Visits CTAS,117,5
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits,2535,
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,13,1
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,488,2
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,1242,3
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,664,4
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,128,5
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits,2402,
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,16,1
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,422,2
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,1133,3
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,714,4
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,117,5
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits,2391,
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,17,1
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,449,2
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,1125,3
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,682,4
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,118,5
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits,2332,
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,20,1
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,445,2
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,1088,3
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,677,4
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,101,5
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits,2276,
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits,69,
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,1,1
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,14,1
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,463,2
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,15,2
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,1120,3
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,35,3
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,570,4
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,15,4
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,109,5
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,3,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits,233,
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,1,1
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,6,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,45,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,150,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,26,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits,250,
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,1,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,36,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,175,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,31,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits,510,
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,7,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,122,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,317,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,57,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits,631,
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,9,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,107,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,452,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,49,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits,549,
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,5,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,81,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,405,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,54,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits,708,
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,15,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,111,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,508,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits CTAS,63,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits,675,
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,16,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,109,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,455,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-07-01,Emergency Visits CTAS,84,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits,517,
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,10,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,85,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,361,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-08-01,Emergency Visits CTAS,54,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits,379,
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,12,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,61,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,272,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-09-01,Emergency Visits CTAS,29,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits,219,
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,6,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,30,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,152,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-10-01,Emergency Visits CTAS,25,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits,143,
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,3,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,22,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,102,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-11-01,Emergency Visits CTAS,16,5
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits,176,
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,5,2
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,25,3
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,121,4
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,24,5
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits,226,
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,2,2
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,4,3
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,124,4
Western,Annapolis Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,96,5
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits,232,
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,1,2
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,8,3
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,120,4
Western,Annapolis Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,103,5
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits,245,
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,10,3
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,140,4
Western,Annapolis Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,95,5
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits,204,
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,7,3
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,107,4
Western,Annapolis Community Health Centre,Community Hospital,2023-04-01,Emergency Visits CTAS,90,5
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits,252,
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,18,3
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,133,4
Western,Annapolis Community Health Centre,Community Hospital,2023-05-01,Emergency Visits CTAS,101,5
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits,238,
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,10,3
Western,Annapolis Community Health Centre,Community Hospital,2023-06-01,Emergency Visits CTAS,138,4
