"Zone","Hospital","Type","Date","Measure Name","Actual","CTAS"
"Western","Yarmouth Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","39","1"
"Western","Queens General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","401","3"
"Western","Queens General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","81","2"
"Western","Queens General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","1","4"
"Western","Queens General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","284","4"
"Western","Queens General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","23","5"
"Northern","All Saints Springhill Hospital","Community Hospital","2023-12-01","Admits","28",
"Northern","All Saints Springhill Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","121","4"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","551","3"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","1","1"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","18","4"
"Northern","Cumberland Regional Health Care Centre","Regional Hospital","2023-12-01","Emergency Visits CTAS","181","2"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","19","3"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","7","2"
"Western","Yarmouth Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","535","4"
"Eastern","Sacred Heart Community Health Centre","Community Hospital","2023-12-01","Admits","26",
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","530","4"
"Northern","Cumberland Regional Health Care Centre","Regional Hospital","2023-12-01","Emergency Visits CTAS","3","5"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","4","1"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","198","2"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","26","5"
"Northern","Cumberland Regional Health Care Centre","Regional Hospital","2023-12-01","Emergency Visits CTAS","1,111","4"
"Northern","Aberdeen Hospital","Regional Hospital","2023-12-01","Surgical Cases","414",
"Northern","Aberdeen Hospital","Regional Hospital","2023-12-01","Admits","11",
"Northern","Aberdeen Hospital","Regional Hospital","2023-12-01","Admits","421",
"Northern","Cumberland Regional Health Care Centre","Regional Hospital","2023-12-01","Emergency Visits CTAS","113","5"
"Central","Musquodoboit Valley Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","2","4"
"Central","Musquodoboit Valley Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","1","5"
"Central","Eastern Shore Memorial Hospital","Community Hospital","2023-12-01","Discharges","3",
"Western","Yarmouth Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","826","3"
"Central","Hants Community Hospital","Community Hospital","2023-12-01","Surgical Cases","132",
"Western","Yarmouth Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","64","5"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","6","3"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","33","5"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","8","4"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","2","2"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","233","3"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","1","1"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","78","2"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","2","5"
"Western","Digby General Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","258","4"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","63","5"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","3","5"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","38","1"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","1,103","2"
"Northern","Cumberland Regional Health Care Centre","Regional Hospital","2023-12-01","Emergency Visits CTAS","20","4"
"Central","Musquodoboit Valley Memorial Hospital","Community Hospital","2023-12-01","Admits","1",
"Northern","Aberdeen Hospital","Regional Hospital","2023-12-01","Surgical Cases","4",
"Western","Digby General Hospital","Community Hospital","2023-12-01","Discharges","33",
"Eastern","St. Martha's Regional Hospital","Regional Hospital","2023-12-01","Admits","9",
"Eastern","St. Martha's Regional Hospital","Regional Hospital","2023-12-01","Admits","245",
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","1,562","3"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","674","4"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","1","1"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","23","2"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","47","3"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","16","4"
"Eastern","Cape Breton Complex","Regional Hospital","2023-12-01","Emergency Visits CTAS","1","Blank"
"Western","Valley Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","1,580","3"
"Western","Valley Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","80","5"
"Western","Valley Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","28","2"
"Western","Valley Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","60","3"
"Western","Valley Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","54","4"
"IWK","IWK Health Centre","Tertiary Hospital","2023-12-01","Admits","1,458",
"IWK","IWK Health Centre","Tertiary Hospital","2023-12-01","Admits","28",
"Northern","Cumberland Regional Health Care Centre","Regional Hospital","2023-12-01","Emergency Visits CTAS","5","0"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","649","4"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","24","4"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","88","3"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","67","2"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","2","5"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","5","1"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","3,030","3"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","2,187","2"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","144","1"
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","1","2"
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","1","1"
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","15","2"
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","91","3"
"Northern","Cumberland Regional Health Care Centre","Regional Hospital","2023-12-01","Emergency Visits CTAS","24","3"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","53","5"
"Central","QEII","Tertiary Hospital","2023-12-01","Emergency Visits CTAS","1","Blank"
"Western","Valley Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","4","5"
"Eastern","St. Mary's Memorial Hospital","Community Hospital","2023-12-01","Admits","5",
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","10","5"
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","5","3"
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","3","4"
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Emergency Visits CTAS","127","4"
"Western","Valley Regional Hospital","Regional Hospital","2023-12-01","Emergency Visits CTAS","1,238","4"
"Northern","Colchester East Hants Health Centre","Regional Hospital","2023-12-01","Surgical Cases","4",
"Northern","Colchester East Hants Health Centre","Regional Hospital","2023-12-01","Surgical Cases","510",
"Central","Dartmouth General Hospital","Regional Hospital","2023-12-01","Admits","534",
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Discharges","16",
"Eastern","Buchanan Memorial Community Health Centre","Community Hospital","2023-12-01","Discharges","1",
"Western","South Shore Regional Hospital","Regional Hospital","2023-12-01","Admits","11",
"Western","South Shore Regional Hospital","Regional Hospital","2023-12-01","Admits","226",
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","23","5"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","4","5"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","16","2"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","1","0"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","253","3"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","385","4"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","2","2"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","11","4"
"Western","Fishermen's Memorial Hospital","Community Hospital","2023-12-01","Emergency Visits CTAS","1","Blank"
